White,Black,WhiteElo,BlackElo,Result,TimeControl,ECO,PlyCount,Date
Halupkihead,venazvz,1619,1760,0-1,300+0,B20,64,2025.05.30
talkinfool,rusalka,1252,1270,1-0,120+12,B20,115,2025.05.30
ChequeMade,Oak,1644,1592,1/2-1/2,180+0,C23,97,2025.05.30
IjonTichy,ErrareHumanumEst,1596,1782,0-1,60+0,A06,68,2025.05.30
GeorgeCool,ervenperlasangler,1651,1666,1-0,180+0,B30,63,2025.05.30
Qidel,Zoomy,1493,1582,1-0,180+0,C44,25,2025.05.30
igor,ChokitoRJ,1620,1600,0-1,300+0,C01,96,2025.05.30
ErrareHumanumEst,IjonTichy,1778,1600,1-0,60+0,C01,81,2025.05.30
Trasimene,GotreksAxe,1745,1773,1-0,180+0,D00,71,2025.05.30
Zoomy,Qidel,1576,1499,1-0,180+0,C47,39,2025.05.30
rugs,konozrout,1719,2050,0-1,300+0,A45,42,2025.05.30
IjonTichy,ErrareHumanumEst,1588,1790,1-0,60+0,C65,61,2025.05.30
ImgonnaMateYou,Caarreeyy,1584,1470,1-0,300+0,D00,91,2025.05.30
venazvz,Halupkihead,1753,1692,1-0,300+0,B10,113,2025.05.30
KINGJarthur,LuigiBot,1648,1677,1-0,900+0,A00,135,2025.05.30
Oak,ChequeMade,1599,1637,0-1,180+0,C36,70,2025.05.30
ervenperlasangler,GeorgeCool,1658,1659,1-0,180+0,C62,57,2025.05.30
PinkFloydWall,lightsabre,1604,1482,1-0,180+0,B01,41,2025.05.30
DELAVINANDIOR,tacneno,1539,1294,1-0,300+5,B20,65,2025.05.30
ErrareHumanumEst,IjonTichy,1786,1592,1-0,60+0,C00,31,2025.05.30
DonTBeadick,Zoomy,1359,1572,0-1,180+0,A00,68,2025.05.30
konozrout,rugs,2048,1721,1-0,300+0,C41,39,2025.05.30
lightsabre,PinkFloydWall,1488,1598,0-1,180+0,D00,54,2025.05.30
IjonTichy,ErrareHumanumEst,1580,1798,1-0,60+0,D34,53,2025.05.30
rvs,Trasimene,1581,1740,0-1,180+0,C23,82,2025.05.30
GeorgeCool,ervenperlasangler,1667,1650,0-1,180+0,B20,68,2025.05.30
PinkFloydWall,lightsabre,1592,1494,1-0,180+0,B01,71,2025.05.30
Caarreeyy,ImgonnaMateYou,1459,1595,1-0,300+0,D20,81,2025.05.30
ChequeMade,Oak,1646,1590,0-1,180+0,C24,74,2025.05.30
rugs,konozrout,1723,2046,0-1,300+0,D00,54,2025.05.30
JAMAALB,jatapia,1798,1747,1-0,1200+5,A04,71,2025.05.30
amatovic,scalaQueen,1761,1857,1-0,180+0,A25,133,2025.05.30
LuigiBot,KINGJarthur,1669,1656,1-0,900+0,C00,75,2025.05.30
Halupkihead,venazvz,1843,1743,0-1,300+0,B20,80,2025.05.30
ErrareHumanumEst,Anmelus,1791,1756,1-0,60+0,C00,79,2025.05.30
dominospizza,rvs,1707,1570,0-1,180+0,A00,126,2025.05.30
ervenperlasangler,GeorgeCool,1641,1676,1-0,180+0,C54,67,2025.05.30
PinkFloydWall,elrukapillan,1587,1450,1-0,180+0,B20,37,2025.05.30
Oak,ChequeMade,1597,1639,0-1,180+0,C36,108,2025.05.30
ImgonnaMateYou,Caarreeyy,1598,1456,1/2-1/2,300+0,D00,115,2025.05.30
Anmelus,ErrareHumanumEst,1764,1783,0-1,60+0,A00,118,2025.05.30
KINGJarthur,LuigiBot,1647,1678,1-0,900+0,A00,133,2025.05.30
hastrman,FreeMind,1649,1959,0-1,120+12,B30,34,2025.05.30
scalaQueen,amatovic,1851,1767,1-0,180+0,E77,89,2025.05.30
