White,Black,WhiteElo,BlackElo,Result,TimeControl,ECO,PlyCount,Date
CeruleanJS,andelcer,1975,1828,1-0,300+0,D02,55,2025.05.30
Viroo,LorenzoDV,1401,1440,1/2-1/2,300+0,A40,153,2025.05.30
rvs,JozeG,1585,1862,1-0,180+0,B07,119,2025.05.30
freddyigbinosa,AlgozBR,1674,1669,0-1,180+0,C25,66,2025.05.30
ImgonnaMateYou,Raju,1603,1548,0-1,300+0,D00,52,2025.05.30
hthen,PinkFloydWall,1706,1605,1-0,180+0,A20,73,2025.05.30
lightsabre,chesstattoo,1484,1413,1-0,300+0,D05,57,2025.05.30
Fleskusflint,Robbt,1512,1411,1-0,180+0,A40,65,2025.05.30
inemuri,mygooddogbobo,1252,1410,0-1,300+0,A00,22,2025.05.30
andelcer,CeruleanJS,1833,1970,0-1,300+0,A40,48,2025.05.30
chesstattoo,ruatuti,1419,1490,0-1,300+0,A13,28,2025.05.30
JozeG,rvs,1859,1588,1-0,180+0,A46,51,2025.05.30
patriotscout,lightsabre,1525,1491,1-0,180+0,B01,109,2025.05.30
Robbt,Fleskusflint,1400,1523,1-0,180+0,C23,63,2025.05.30
Raju,ImgonnaMateYou,1538,1613,1-0,300+0,C40,55,2025.05.30
CeruleanJS,andelcer,1965,1838,1-0,300+0,A06,61,2025.05.30
rvs,JozeG,1591,1856,0-1,180+0,B07,92,2025.05.30
Santoshkswamy,LuigiBot,1497,1614,0-1,900+0,A00,54,2025.05.30
AlgozBR,melvinfox,1677,1665,0-1,180+0,C24,54,2025.05.30
Fleskusflint,Robbt,1534,1389,0-1,180+0,A40,114,2025.05.30
hastrman,JaiMan,2045,1900,1-0,900+0,C41,37,2025.05.30
jcazcal,patriotscout,1535,1533,1-0,300+0,A40,171,2025.05.30
LuigiBot,Santoshkswamy,1625,1486,0-1,900+0,B06,76,2025.05.30
andelcer,CeruleanJS,1843,1960,0-1,300+0,A40,78,2025.05.30
krell,AlgozBR,1666,1669,0-1,180+0,C20,2,2025.05.30
ImgonnaMateYou,Raju,1606,1545,1-0,300+0,D00,107,2025.05.30
JozeG,rvs,1853,1594,1-0,180+0,A46,73,2025.05.30
WMC,rekkpop,1510,1591,0-1,600+0,C46,74,2025.05.30
family,admnoite,1725,1538,1-0,300+0,D20,35,2025.05.30
PinkFloydWall,DonTBeadick,1602,1345,1-0,180+0,C23,63,2025.05.30
Santoshkswamy,LuigiBot,1491,1620,0-1,900+0,A00,60,2025.05.30
teddya,seabed,1460,1532,1/2-1/2,60+5,D31,155,2025.05.30
LuigiBot,Santoshkswamy,1615,1496,1-0,900+0,B06,79,2025.05.30
freddyigbinosa,JozeG,1678,1849,0-1,180+0,B06,70,2025.05.30
JaiMan,hastrman,1905,2040,0-1,900+0,C44,80,2025.05.30
CeruleanJS,andelcer,1954,1849,1-0,300+0,A01,59,2025.05.30
DELAVINANDIOR,allowmartin,1549,1207,1-0,300+5,C00,85,2025.05.30
rvs,patriotscout,1587,1540,1-0,180+0,C00,55,2025.05.30
JozeG,freddyigbinosa,1861,1666,0-1,180+0,D02,58,2025.05.30
Ongashi,hejkal,1978,1787,1-0,900+0,B22,91,2025.05.30
Santoshkswamy,LuigiBot,1502,1609,0-1,900+0,A00,90,2025.05.30
Raju,ImgonnaMateYou,1535,1616,1-0,300+0,C41,27,2025.05.30
freddyigbinosa,JozeG,1670,1857,0-1,180+0,B07,72,2025.05.30
ImgonnaMateYou,Raju,1610,1541,1-0,300+0,D00,53,2025.05.30
ShallowPurple,SereneThought,1657,1591,0-1,300+0,B02,78,2025.05.30
patriotscout,PinkFloydWall,1547,1595,0-1,180+0,C60,112,2025.05.30
DonTBeadick,DELAVINANDIOR,1349,1545,0-1,300+5,B20,64,2025.05.29
JozeG,freddyigbinosa,1869,1658,0-1,180+0,D02,68,2025.05.30
LuigiBot,Mmalawi,1596,1855,1-0,900+0,B00,1,2025.05.30
PinkFloydWall,rvs,1587,1595,1-0,180+0,B04,83,2025.05.30
ImgonnaMateYou,family,1599,1736,1-0,300+0,D00,79,2025.05.30
Mmalawi,LuigiBot,1852,1599,1-0,900+0,A56,65,2025.05.30
seabed,freddyigbinosa,1521,1669,1-0,60+4,B01,95,2025.05.30
LuigiBot,Mmalawi,1602,1849,0-1,900+0,B44,58,2025.05.30
family,Nochance,1734,1409,1-0,300+0,E61,57,2025.05.30
Mmalawi,LuigiBot,1846,1605,1-0,900+0,A43,45,2025.05.30
saviraj,ImgonnaMateYou,1515,1593,0-1,300+0,D00,108,2025.05.29
rvs,PinkFloydWall,1604,1578,0-1,180+0,C23,62,2025.05.29
LuigiBot,Mmalawi,1608,1843,0-1,900+0,B32,130,2025.05.29
hastrman,JaiMan,2035,1910,1-0,900+0,C26,61,2025.05.29
chopinscherzo,Santoshkswamy,1237,1302,0-1,300+0,C41,52,2025.05.29
Ongashi,walpurti,1983,2122,0-1,900+0,A45,71,2025.05.29
PhretBored,rvs,1584,1596,0-1,180+0,A01,42,2025.05.29
Santoshkswamy,chopinscherzo,1295,1244,1-0,300+0,C00,47,2025.05.29
freddyigbinosa,BleuBlancRouge,1660,1698,1-0,300+0,B23,57,2025.05.29
Mmalawi,LuigiBot,1840,1611,1-0,900+0,A43,51,2025.05.29
PinkFloydWall,DonTBeadick,1575,1352,1-0,180+0,C23,53,2025.05.29
rvs,PhretBored,1588,1592,1-0,180+0,B00,97,2025.05.29
Albanianmaster,chasp,1637,1551,0-1,180+0,A00,90,2025.05.29
LuigiBot,Mmalawi,1615,1836,0-1,900+0,B32,120,2025.05.29
tacneno,Hathkhola,1708,1717,0-1,2700+45,C31,38,2025.05.29
chopinscherzo,Santoshkswamy,1251,1288,0-1,300+0,C01,9,2025.05.29
DELAVINANDIOR,foko,1543,1162,1-0,300+5,C42,25,2025.05.29
PhretBored,rvs,1600,1580,0-1,180+0,A01,80,2025.05.29
Santoshkswamy,inemuri,1280,1260,1-0,180+0,A00,31,2025.05.29
JaiMan,hastrman,1899,2046,1-0,900+0,B50,109,2025.05.29
Albanianmaster,freddyigbinosa,1628,1669,1-0,180+1,A00,45,2025.05.29
Mmalawi,LuigiBot,1832,1619,1-0,900+0,A43,93,2025.05.29
lightsabre,PinkFloydWall,1481,1585,1-0,180+0,D00,65,2025.05.29
foko,Thabibombs,1148,1459,1-0,180+0,B00,1,2025.05.29
rvs,PhretBored,1588,1592,0-1,180+0,B00,32,2025.05.29
foko,DELAVINANDIOR,1150,1541,0-1,300+5,B30,66,2025.05.29
freddyigbinosa,Albanianmaster,1670,1627,1/2-1/2,180+1,C00,141,2025.05.29
baalzebul,SargonV,1437,1576,1-0,300+0,A28,63,2025.05.29
rvs,Crown,1596,1577,0-1,180+0,C00,76,2025.05.29
LuigiBot,Mmalawi,1623,1828,0-1,900+0,B32,144,2025.05.29
chasp,PinkFloydWall,1542,1594,1-0,180+0,D06,57,2025.05.29
Pakpawn,tacneno,1494,1253,1-0,180+0,B45,31,2025.05.29
Downtube,chesstattoo,1677,1422,1-0,300+0,C26,30,2025.05.29
hongxw,Downtube,1692,1668,0-1,300+0,C01,106,2025.05.29
formulaonechess,rvs,1569,1588,0-1,180+0,B02,66,2025.05.29
Mmalawi,LuigiBot,1824,1627,1-0,900+0,A43,71,2025.05.29
ShallowPurple,Alekhan,1655,1259,1-0,300+0,B12,65,2025.05.29
Patatin,chesstattoo,1272,1433,1-0,300+0,C42,51,2025.05.29
hastrman,JaiMan,2041,1904,1-0,900+0,A21,125,2025.05.29
rvs,formulaonechess,1580,1577,1-0,180+0,C00,143,2025.05.29
LuigiBot,Mmalawi,1614,1837,1-0,900+0,B32,49,2025.05.29
FilthyAngel,Pakpawn,1612,1500,1-0,180+0,C50,65,2025.05.29
PinkFloydWall,flusher,1588,1520,1-0,180+0,C50,46,2025.05.29
DELAVINANDIOR,foko,1539,1152,1-0,300+5,C42,27,2025.05.29
flusher,PinkFloydWall,1510,1598,1-0,180+0,C54,93,2025.05.29
Mmalawi,LuigiBot,1833,1618,1-0,900+0,A56,53,2025.05.29
lotfour,Patatin,1396,1261,0-1,300+0,B01,60,2025.05.29
LuigiBot,Mmalawi,1622,1829,0-1,900+0,B32,72,2025.05.29
Alekhan,ShallowPurple,1262,1653,0-1,300+0,C77,30,2025.05.29
SereneThought,ChessMtr,1583,1576,1-0,300+0,C40,31,2025.05.29
formulaonechess,rvs,1585,1572,0-1,180+0,B02,36,2025.05.29
Pakpawn,FilthyAngel,1506,1606,0-1,180+0,C40,74,2025.05.29
Duun,rusalka,1824,1650,1-0,900+0,A00,75,2025.05.29
Dylanboris,foko,1179,1160,1-0,300+5,C20,57,2025.05.29
ChessMtr,SereneThought,1584,1575,0-1,300+0,B01,44,2025.05.29
Mmalawi,LuigiBot,1825,1626,1-0,900+0,A56,53,2025.05.29
hejkal,RANJEETY,1779,1766,1-0,900+0,C60,55,2025.05.29
LuigiBot,Mmalawi,1613,1838,1-0,900+0,B44,25,2025.05.29
Patatin,lotfour,1266,1391,0-1,300+0,C00,42,2025.05.29
PinkFloydWall,flusher,1608,1500,0-1,180+0,C23,74,2025.05.29
Mmalawi,LuigiBot,1851,1600,0-1,900+0,A56,66,2025.05.29
FilthyAngel,Pakpawn,1600,1512,1-0,180+0,C50,89,2025.05.29
ethicalRascal,dominospizza,1678,1687,1-0,180+0,A40,71,2025.05.29
LuigiBot,Mmalawi,1587,1864,1-0,900+0,B32,61,2025.05.29
DonTBeadick,DELAVINANDIOR,1356,1535,0-1,300+5,B20,70,2025.05.29
dominospizza,ethicalRascal,1696,1669,0-1,180+0,A00,74,2025.05.29
JAMAALB,tacneno,1802,1714,1-0,1200+5,A34,43,2025.05.29
FilthyAngel,krell,1607,1659,0-1,180+0,B02,106,2025.05.29
Mmalawi,LuigiBot,1861,1590,1-0,900+0,A56,91,2025.05.29
Dylanboris,Patatin,1168,1276,1-0,180+12,B01,11,2025.05.29
Pakpawn,LSQUARED,1501,1634,1-0,180+0,B54,67,2025.05.29
ethicalRascal,dominospizza,1677,1688,0-1,180+0,A40,30,2025.05.29
SereneThought,patriotscout,1584,1538,0-1,180+0,B00,42,2025.05.29
dominospizza,ethicalRascal,1688,1677,1/2-1/2,180+0,A00,140,2025.05.29
krell,FilthyAngel,1652,1614,1-0,180+0,A40,103,2025.05.29
LuigiBot,Mmalawi,1576,1875,1-0,900+0,B32,103,2025.05.29
damouno,igor,2079,1599,0-1,300+0,C62,120,2025.05.29
Rajeevmaheshwari,Pakpawn,1420,1495,0-1,180+0,C64,88,2025.05.29
ethicalRascal,dominospizza,1685,1680,0-1,180+0,A40,134,2025.05.29
Downtube,hgokuh,1664,1475,1-0,300+0,B01,141,2025.05.29
foko,Ascencion,1634,1469,0-1,900+0,C00,28,2025.05.29
LSQUARED,krell,1642,1644,0-1,180+0,B02,74,2025.05.29
igor,damouno,1600,2078,0-1,300+0,C01,70,2025.05.29
Mmalawi,LuigiBot,1873,1578,1-0,900+0,A56,69,2025.05.29
dominospizza,ethicalRascal,1671,1694,1-0,180+0,A00,69,2025.05.29
Zoomy,LSQUARED,1570,1652,1-0,180+0,B54,77,2025.05.29
LuigiBot,Mmalawi,1581,1870,0-1,900+0,B32,74,2025.05.29
JAMAALB,tacneno,1796,1720,1-0,1200+5,B22,93,2025.05.29
hgokuh,Downtube,1463,1676,1-0,300+0,C00,91,2025.05.29
ethicalRascal,dominospizza,1686,1679,1-0,180+0,D00,55,2025.05.29
Zoomy,defensamaya,1580,1475,0-1,180+0,B07,96,2025.05.29
chopinscherzo,svevid,1237,1537,1-0,300+0,B02,67,2025.05.29
rusalka,Duun,1655,1820,0-1,900+0,B33,38,2025.05.29
Pakpawn,BBright,1502,1566,0-1,240+0,C00,146,2025.05.29
ShallowPurple,Barleneister,1911,1510,1-0,900+0,A40,49,2025.05.29
PinkFloydWall,ethicalRascal,1598,1696,1-0,180+0,C00,103,2025.05.29
defensamaya,Zoomy,1481,1574,0-1,180+0,A00,60,2025.05.29
DonTBeadick,PinkFloydWall,1359,1595,0-1,180+0,C24,62,2025.05.29
BBright,Pakpawn,1576,1492,0-1,240+0,A45,140,2025.05.29
meroramadan,stewarty,1875,1872,1/2-1/2,1200+0,D80,156,2025.05.29
lotfour,inemuri,1402,1249,0-1,300+0,B00,60,2025.05.29
Zoomy,GotreksAxe,1578,1760,0-1,180+0,C04,82,2025.05.29
defensamaya,morlok,1474,1430,1-0,180+0,A00,67,2025.05.29
rekkpop,svevid,1601,1527,0-1,300+0,E90,37,2025.05.29
LSQUARED,ethicalRascal,1651,1697,1/2-1/2,180+0,C00,118,2025.05.29
inemuri,lotfour,1254,1397,0-1,300+0,A00,22,2025.05.29
ImgonnaMateYou,ChessMtr,1602,1575,0-1,300+0,D00,56,2025.05.29
morlok,dominospizza,1433,1676,0-1,180+0,B00,78,2025.05.29
saltygrape,defensamaya,1445,1483,1-0,180+0,B07,67,2025.05.29
svevid,rekkpop,1517,1611,1-0,300+0,D35,53,2025.05.29
Pakpawn,BBright,1482,1586,1-0,240+0,C00,41,2025.05.29
ChessMtr,ImgonnaMateYou,1574,1603,1/2-1/2,300+0,C50,85,2025.05.29
haberdashery,LSQUARED,1683,1642,0-1,180+0,B21,32,2025.05.29
ethicalRascal,Zoomy,1691,1584,1-0,180+0,D00,64,2025.05.29
kelseymw,PinkFloydWall,1372,1591,0-1,180+0,C44,90,2025.05.29
Barleneister,ShallowPurple,1512,1891,0-1,900+0,A00,46,2025.05.29
BBright,saltygrape,1581,1450,1-0,240+0,A45,161,2025.05.29
ImgonnaMateYou,ChessMtr,1595,1582,1-0,300+0,D00,97,2025.05.29
dominospizza,defensamaya,1672,1487,1-0,180+0,A00,89,2025.05.29
LSQUARED,Zoomy,1635,1591,1-0,180+0,C20,79,2025.05.29
PinkFloydWall,morlok,1586,1438,1-0,180+0,B20,109,2025.05.29
foko,DonTBeadick,1156,1363,1/2-1/2,120+12,C44,136,2025.05.29
PhretBored,gcolen,1596,1769,0-1,180+0,A01,88,2025.05.29
kelseymw,skid,1377,1523,0-1,180+0,B01,50,2025.05.29
saltygrape,callipygian,1453,1724,0-1,180+0,B01,46,2025.05.29
defensamaya,dominospizza,1491,1668,0-1,180+0,A00,54,2025.05.29
gcolen,PhretBored,1781,1584,0-1,180+0,B00,113,2025.05.29
rekkpop,saltygrape,1606,1458,1-0,300+0,E00,53,2025.05.29
iallip,krell,1679,1651,1-0,180+0,B34,59,2025.05.29
morlok,kelseymw,1431,1384,1-0,180+0,B21,31,2025.05.29
dominospizza,defensamaya,1664,1495,1-0,180+0,A00,79,2025.05.29
kelseymw,PinkFloydWall,1388,1582,0-1,180+0,C44,122,2025.05.29
Albanianmaster,morlok,1639,1419,0-1,180+0,A00,0,2025.05.29
PhretBored,gcolen,1580,1785,1/2-1/2,180+0,A01,126,2025.05.29
saltygrape,callipygian,1461,1721,0-1,180+0,A48,82,2025.05.29
damouno,igor,2077,1601,1-0,300+0,C41,121,2025.05.29
iallip,dominospizza,1671,1672,1-0,180+0,B00,57,2025.05.29
defensamaya,saltygrape,1487,1469,1-0,180+0,A00,109,2025.05.29
shiraren,hastrman,1661,1618,0-1,300+3,C54,72,2025.05.29
lotfour,tacneno,1392,1258,1-0,300+0,B40,81,2025.05.29
PinkFloydWall,kelseymw,1578,1392,1-0,180+0,B20,57,2025.05.29
dominospizza,iallip,1680,1663,0-1,180+0,A00,68,2025.05.29
kelseymw,TacticianPro,1398,1489,0-1,180+0,C45,80,2025.05.29
PinkFloydWall,ethicalRascal,1584,1685,0-1,180+0,C00,74,2025.05.29
iallip,dominospizza,1671,1672,0-1,180+0,B00,114,2025.05.29
callipygian,saltygrape,1718,1472,1-0,180+0,D00,97,2025.05.29
meroramadan,stewarty,1867,1880,1-0,1200+0,D91,93,2025.05.29
haberdashery,Durol,1674,1699,1-0,180+0,B10,23,2025.05.29
igor,damouno,1594,2084,1/2-1/2,300+0,C01,120,2025.05.29
Lumpy,haberdashery,1680,1543,1-0,60+0,B02,49,2025.05.29
ChokitoRJ,lotfour,1597,1396,1-0,300+0,D06,89,2025.05.29
saltygrape,defensamaya,1480,1479,0-1,180+0,B07,92,2025.05.29
hastrman,shiraren,1625,1654,0-1,300+3,B01,62,2025.05.29
Durol,ethicalRascal,1691,1693,1-0,180+0,C00,109,2025.05.29
suleim,LexB,1586,1767,1-0,180+0,B00,75,2025.05.29
cnm,PinkFloydWall,1348,1597,1-0,180+0,D31,63,2025.05.29
JoeO,Mentallytough,1668,1518,1-0,180+0,C35,49,2025.05.29
damouno,igor,2083,1595,1-0,300+0,B07,143,2025.05.29
ethicalRascal,iallip,1685,1679,1-0,180+0,D00,49,2025.05.29
LexB,suleim,1763,1590,1-0,180+0,C40,89,2025.05.29
lotfour,inemuri,1391,1259,1-0,300+0,B00,79,2025.05.29
Mentallytough,JoeO,1523,1663,0-1,180+0,C00,42,2025.05.29
shiraren,hastrman,1663,1616,0-1,300+3,B02,66,2025.05.29
Trasimene,ethicalRascal,1743,1675,0-1,180+0,D00,38,2025.05.29
PinkFloydWall,zaragoza,1605,1604,0-1,180+0,C24,100,2025.05.29
tacneno,cnm,1264,1342,0-1,300+0,B58,92,2025.05.29
zackb,venazvz,1772,1806,0-1,180+0,A00,84,2025.05.29
algra,hejkal,1319,1499,0-1,120+12,C00,28,2025.05.29
JustMicgo,Mariorichard,1666,1633,0-1,900+0,D00,76,2025.05.29
JoeO,uloseiwin,1653,1754,1-0,180+0,B00,91,2025.05.29
ethicalRascal,Trasimene,1665,1753,1-0,180+0,A40,45,2025.05.29
suleim,LexB,1595,1758,0-1,180+0,B00,76,2025.05.29
saltygrape,Mentallytough,1487,1516,0-1,180+0,A04,64,2025.05.29
meroramadan,stewarty,1875,1872,0-1,1200+0,D91,68,2025.05.29
Anmelus,talshand,1757,2155,0-1,60+0,A00,102,2025.05.29
LWRoad,hgokuh,1506,1462,1/2-1/2,180+1,A06,78,2025.05.29
rusalka,JYDNemesis,1170,1065,1-0,120+12,D20,53,2025.05.29
talshand,Anmelus,2153,1759,1-0,60+0,A40,101,2025.05.29
venazvz,CeruleanJS,1794,1966,1-0,300+0,A41,131,2025.05.29
igor,damouno,1596,2082,0-1,300+0,C01,112,2025.05.29
LexB,suleim,1753,1600,1-0,180+0,C25,43,2025.05.29
iallip,zackb,1685,1766,0-1,120+12,C00,102,2025.05.29
Anmelus,talshand,1761,2151,0-1,60+0,A00,88,2025.05.29
Dagg,GussieFinkNottle,1411,1546,0-1,180+0,D00,82,2025.05.29
hejkal,RookNRoll,1492,1463,1-0,120+12,B24,87,2025.05.29
dominospizza,GeorgeCool,1682,1592,0-1,180+0,A00,86,2025.05.29
talshand,Anmelus,2149,1763,1-0,60+0,A40,107,2025.05.29
suleim,LexB,1588,1765,1-0,180+0,B00,71,2025.05.29
Trasimene,PinkFloydWall,1748,1610,1-0,180+0,D00,67,2025.05.29
Anmelus,talshand,1748,2164,1-0,60+0,A00,93,2025.05.29
hgokuh,LWRoad,1469,1499,0-1,180+1,B01,62,2025.05.29
damouno,igor,2097,1581,0-1,300+0,C41,150,2025.05.29
hastrman,algra,1613,1322,1-0,120+12,C36,59,2025.05.29
Mariorichard,JustMicgo,1624,1675,1-0,900+0,B01,75,2025.05.29
Dagg,shiraren,1398,1676,1-0,300+3,D02,43,2025.05.29
talshand,Anmelus,2163,1749,1-0,60+0,A41,99,2025.05.29
zackb,iallip,1776,1675,0-1,120+2,A01,62,2025.05.29
GeorgeCool,dominospizza,1598,1676,0-1,180+0,B00,86,2025.05.29
CeruleanJS,venazvz,1970,1790,1/2-1/2,300+0,A11,133,2025.05.29
meroramadan,stewarty,1883,1864,0-1,1200+0,D80,84,2025.05.29
LexB,suleim,1761,1592,1-0,180+0,C25,49,2025.05.29
PinkFloydWall,Mancopro,1622,1447,0-1,180+0,B20,86,2025.05.29
Anmelus,talshand,1750,2162,0-1,60+0,A01,64,2025.05.29
Durol,Trasimene,1698,1741,0-1,180+0,C25,30,2025.05.29
JYDNemesis,rusalka,1071,1164,0-1,120+12,A00,66,2025.05.29
talshand,Anmelus,2161,1751,1-0,60+0,A40,103,2025.05.29
LWRoad,hgokuh,1491,1477,1-0,180+1,A06,75,2025.05.29
Nenegomez,Dagg,1276,1393,0-1,300+5,A01,130,2025.05.29
Zelp,ricardotassinari,1902,1538,1-0,180+0,A01,103,2025.05.29
Anmelus,talshand,1736,2176,1-0,60+0,A01,107,2025.05.29
patc,TacticianPro,1667,1493,1-0,180+0,D00,43,2025.05.29
dominospizza,GeorgeCool,1686,1588,0-1,180+0,A00,72,2025.05.29
patriotscout,PinkFloydWall,1528,1632,1-0,180+0,C41,123,2025.05.29
suleim,LexB,1580,1773,1-0,180+0,A10,63,2025.05.29
krell,Durol,1658,1691,0-1,180+0,D10,56,2025.05.29
talshand,Anmelus,2175,1737,1-0,60+0,A40,65,2025.05.29
RousterRook,Qidel,1492,1460,1-0,180+0,D30,73,2025.05.29
haberdashery,IjonTichy,1533,1611,1-0,60+0,B01,41,2025.05.29
DerrickH,LuigiBot,1484,1575,0-1,900+0,A43,108,2025.05.29
saratustra,talshand,1419,2318,0-1,300+0,B20,60,2025.05.29
hgokuh,LWRoad,1468,1500,1-0,180+1,B01,63,2025.05.29
ervenperlasangler,iallip,1637,1684,1-0,180+0,C44,43,2025.05.29
tollfree,arganthonius,1474,1499,0-1,300+0,D02,74,2025.05.29
GeorgeCool,dominospizza,1577,1697,1-0,180+0,B00,47,2025.05.29
venazvz,CeruleanJS,1786,1974,1/2-1/2,300+0,A40,57,2025.05.29
ricardotassinari,Zelp,1540,1900,0-1,180+0,C02,84,2025.05.29
LexB,suleim,1769,1584,1-0,180+0,C25,45,2025.05.29
iallip,ervenperlasangler,1693,1628,0-1,180+0,B08,74,2025.05.29
stealthbomber,cassiorsi,1576,1633,1-0,180+0,A40,53,2025.05.29
Qidel,RousterRook,1451,1501,1-0,180+0,B01,109,2025.05.29
GeorgeCool,PinkFloydWall,1584,1625,0-1,180+0,C42,82,2025.05.29
Zoomy,ricardotassinari,1584,1547,1-0,180+0,B01,115,2025.05.29
antvrs,ShallowPurple,1900,2036,1-0,900+0,A02,165,2025.05.29
CeruleanJS,venazvz,1986,1774,0-1,300+0,A01,86,2025.05.29
algra,RookNRoll,1327,1458,0-1,240+12,B30,58,2025.05.29
LuigiBot,DerrickH,1577,1482,1/2-1/2,900+0,A00,95,2025.05.29
Zelp,hackwind,1899,1404,1-0,180+0,A01,5,2025.05.29
Downtube,hgokuh,1689,1455,0-1,300+0,B01,90,2025.05.29
dominospizza,Zelp,1701,1895,0-1,180+0,A00,90,2025.05.29
talshand,saratustra,2318,1419,1-0,300+0,D50,36,2025.05.29
cassiorsi,stealthbomber,1626,1583,1-0,180+0,A00,79,2025.05.29
suleim,LexB,1588,1765,0-1,180+0,B00,96,2025.05.29
Aromas,konozrout,2057,2306,0-1,900+0,C54,44,2025.05.29
theprof,Anmelus,1748,1591,1-0,180+0,B00,73,2025.05.29
RousterRook,Qidel,1494,1458,1-0,180+0,D20,79,2025.05.29
ervenperlasangler,kerimli,1616,1792,1-0,180+0,C41,91,2025.05.29
saratustra,talshand,1419,2318,0-1,300+0,B20,56,2025.05.29
lovemate,svevid,1261,1530,1-0,300+0,A48,57,2025.05.29
Zelp,dominospizza,1891,1705,1-0,180+0,A01,89,2025.05.29
PinkFloydWall,GeorgeCool,1618,1591,1-0,180+0,C54,79,2025.05.29
meroramadan,stewarty,1892,1855,0-1,1200+0,D91,80,2025.05.29
defensamaya,Albanianmaster,1484,1634,0-1,180+0,A00,94,2025.05.29
arganthonius,rusalka,1501,1314,0-1,120+1,B13,78,2025.05.29
LexB,suleim,1761,1592,1-0,180+0,C40,59,2025.05.29
stealthbomber,iallip,1572,1704,1-0,180+0,D37,70,2025.05.29
theprof,PinkFloydWall,1743,1623,1-0,180+0,C41,43,2025.05.29
kerimli,ervenperlasangler,1788,1620,1-0,180+0,B20,81,2025.05.29
Qidel,RousterRook,1465,1487,0-1,180+0,B01,74,2025.05.29
hgokuh,Downtube,1458,1686,0-1,300+0,C02,74,2025.05.29
venazvz,CeruleanJS,1770,1990,1/2-1/2,300+0,B01,89,2025.05.29
dominospizza,Zelp,1709,1887,0-1,180+0,A00,122,2025.05.29
konozrout,Aromas,2303,2060,1-0,900+0,A08,97,2025.05.29
hackwind,chopinscherzo,1399,1242,1-0,300+0,C02,75,2025.05.29
rvs,theprof,1577,1738,0-1,180+0,C00,68,2025.05.29
rusalka,arganthonius,1318,1497,0-1,120+1,A10,76,2025.05.29
molina,IjonTichy,1757,1600,0-1,60+0,A85,72,2025.05.29
Zoomy,PinkFloydWall,1575,1632,1-0,180+0,C45,49,2025.05.29
talshand,saratustra,2318,1419,1-0,300+0,D53,59,2025.05.29
suleim,LexB,1597,1756,0-1,180+0,B00,94,2025.05.29
Albanianmaster,defensamaya,1629,1489,1-0,180+0,A00,22,2025.05.29
iallip,stealthbomber,1699,1577,1-0,180+0,C41,33,2025.05.29
defensamaya,Albanianmaster,1494,1624,0-1,180+0,A00,90,2025.05.29
SAULLG,lovemate,1123,1272,1-0,300+0,A40,68,2025.05.29
IjonTichy,molina,1605,1752,0-1,60+0,C15,42,2025.05.29
RousterRook,Qidel,1479,1473,1-0,180+0,D00,77,2025.05.29
PinkFloydWall,Zoomy,1625,1582,1-0,180+0,C24,51,2025.05.29
Zelp,dominospizza,1899,1697,0-1,180+0,A01,162,2025.05.29
ervenperlasangler,kerimli,1616,1792,1/2-1/2,180+0,C44,84,2025.05.29
Trasimene,iallip,1750,1690,0-1,180+0,D00,86,2025.05.29
Centerman,GotreksAxe,1712,1753,0-1,180+0,C40,64,2025.05.29
RookNRoll,algra,1453,1332,1-0,240+12,D00,41,2025.05.29
theprof,rvs,1733,1582,1-0,180+0,B07,81,2025.05.29
adammr,Mariorichard,1600,1633,1-0,900+0,C60,25,2025.05.29
Zoomy,Rochester,1583,2149,0-1,180+0,B01,36,2025.05.29
Downtube,talshand,1686,2318,0-1,300+0,B20,30,2025.05.29
CeruleanJS,venazvz,1995,1765,1/2-1/2,300+0,A36,94,2025.05.29
defensamaya,PinkFloydWall,1499,1620,0-1,180+0,A00,94,2025.05.29
LexB,suleim,1768,1585,0-1,180+0,C50,46,2025.05.29
Knightsmasher,BlackDemon,2361,2840,0-1,300+0,D47,114,2025.05.29
Qidel,RousterRook,1464,1488,1-0,180+0,B01,51,2025.05.29
callipygian,saltygrape,1715,1490,1-0,180+0,B06,131,2025.05.29
dutchandanna,Centerman,1813,1710,1/2-1/2,180+1,A00,238,2025.05.29
talshand,Downtube,2318,1686,1-0,300+0,A83,45,2025.05.29
dominospizza,Zelp,1701,1895,0-1,180+0,A00,88,2025.05.29
rvs,theprof,1587,1728,0-1,180+0,C00,94,2025.05.29
iallip,ervenperlasangler,1683,1623,1-0,180+0,B34,115,2025.05.29
kerimli,krell,1787,1663,1-0,180+0,B03,57,2025.05.29
meroramadan,stewarty,1885,1862,1-0,1200+0,D91,77,2025.05.29
suleim,LexB,1589,1764,0-1,180+0,B00,44,2025.05.29
FZi,Qidel,1841,1466,1-0,180+0,D00,69,2025.05.29
PinkFloydWall,defensamaya,1631,1488,0-1,180+0,B07,100,2025.05.29
LexB,suleim,1776,1577,0-1,180+0,B30,90,2025.05.29
SereneThought,callipygian,1589,1710,0-1,180+0,B01,52,2025.05.29
Downtube,talshand,1686,2318,0-1,300+0,B20,62,2025.05.29
theprof,rvs,1739,1576,0-1,180+0,B07,118,2025.05.29
venazvz,CeruleanJS,1768,1992,0-1,300+0,A43,82,2025.05.29
Qidel,FZi,1468,1839,0-1,180+0,B01,76,2025.05.29
ervenperlasangler,iallip,1630,1676,0-1,180+0,C44,68,2025.05.29
